"tweet","created","favorited","retweeted","dayCreated","nytFlag","cnnFlag","foxFlag"
"Because the ban was lifted by a judge, many very bad and dangerous people may be pouring into our country. A terrible decision",2017-02-04 16:44:49,139402,29981,"Sat",0,0,0
"What is our country coming to when a judge can halt a Homeland Security travel ban and anyone, even with bad intentions, can come into U.S.?",2017-02-04 15:44:07,151185,33762,"Sat",0,0,0
"MAKE AMERICA GREAT AGAIN!",2017-02-04 09:26:10,260346,67637,"Sat",0,0,0
"After being forced to apologize for its bad and inaccurate coverage of me after winning the election, the FAKE NEWS @nytimes is still lost!",2017-02-04 08:39:27,104647,17795,"Sat",0,1,0
"The opinion of this so-called judge, which essentially takes law-enforcement away from our country, is ridiculous and will be overturned!",2017-02-04 08:12:02,161787,34012,"Sat",0,0,0
"Interesting that certain Middle-Eastern countries agree with the ban. They know if certain people are allowed in it's death &amp; destruction!",2017-02-04 08:06:39,142156,28769,"Sat",0,0,0
"When a country is no longer able to say who can, and who cannot , come in &amp; out, especially for reasons of safety &amp;.security - big trouble!",2017-02-04 07:59:35,178207,38680,"Sat",0,0,0
"Countries charge U.S. companies taxes or tariffs while the U.S. charges them nothing or little.We should charge them SAME as they charge us!",2017-02-03 22:07:47,157007,27452,"Fri",0,0,0
"We must keep ""evil"" out of our country!",2017-02-03 18:08:38,208221,45607,"Fri",0,0,0
"A new radical Islamic terrorist has just attacked in Louvre Museum in Paris. Tourists were locked down. France on edge again. GET SMART U.S.",2017-02-03 07:51:58,167069,42441,"Fri",0,0,0
"Professional anarchists, thugs and paid protesters are proving the point of the millions of people who voted to MAKE AMERICA GREAT AGAIN!",2017-02-03 06:48:16,175689,43482,"Fri",0,0,0
"Meeting with biggest business leaders this morning. Good jobs are coming back to U.S., health care and tax bills are being crafted NOW!",2017-02-03 06:41:11,127869,19695,"Fri",0,0,0
"Thank you to Prime Minister of Australia for telling the truth about our very civil conversation that FAKE NEWS media lied about. Very nice!",2017-02-03 06:34:32,151436,33246,"Fri",0,0,0
"Iran is playing with fire - they don't appreciate how ""kind"" President Obama was to them. Not me!",2017-02-03 06:28:02,175905,65000,"Fri",0,0,0
"Yes, Arnold Schwarzenegger did a really bad job as Governor of California and even worse on the Apprentice...but at least he tried hard!",2017-02-03 06:24:51,119255,24003,"Fri",0,0,0
"Thank you, @Samsung! We would love to have you! https://t.co/r5nxC9oOA4",2017-02-02 12:29:16,127818,26700,"Thurs",0,0,0
