"tweet","created","favorited","retweeted","dayCreated"
"In Brussels, Prime Minister @CharlesMichel &amp; I reaffirmed strong US-Belgian partnership &amp; need to address shared th… https://t.co/YgBLy32Pdx",2017-02-20 01:40:06,5448,975,"Mon"
"During the tour today of Dachau, survivor Abba Noar recalled to me the horrors of the Holocaust, ""then the American… https://t.co/2K9IaLdj5c",2017-02-19 11:02:29,11884,2906,"Sun"
"Moving and emotional tour of Dachau today. We can never forget atrocities against Jews and others in the Holocaust. https://t.co/69GWN2DKDF",2017-02-19 10:14:47,14975,3865,"Sun"
"One of the best parts of this job, meeting the staff and families working for our country overseas. Thanks for your… https://t.co/fZ8lLvCb1U",2017-02-19 05:03:49,15142,2350,"Sun"
"Personally thanked Iraqi PM @HaiderAlAbadi for sacrifices in shared fight against ISIS &amp; discussed long-term partne… https://t.co/emS6EUNYjB",2017-02-18 14:28:44,5680,1091,"Sat"
"Enjoyed chatting w/ Bono at @MunSecConf. Discussed prior effort to twice pass Africa AIDS assistance &amp; future secur… https://t.co/tR26rGNWC6",2017-02-18 14:08:38,5220,1084,"Sat"
"In meeting with President Poroshenko today, I underscored U.S. support for Ukraine and full implementation of Minsk. https://t.co/2e32Ov0t6y",2017-02-18 13:58:34,6753,1785,"Sat"
"Great meeting with NATO ally Turkish PM @BA_Yildirim to discuss strength of the U.S.-Turkey alliance and our work t… https://t.co/qJFFZJ2MAI",2017-02-18 13:29:53,5422,1245,"Sat"
"In meeting w/ Baltic leaders @Grybauskaite_LT, @vejonis, &amp; @KerstiKaljulaid, I reaffirmed US commitment to their se… https://t.co/vhqT5Gv4c4",2017-02-18 10:46:40,5850,1353,"Sat"
"Discussed need to accelerate plans to defeat ISIS with KRG @President_Barzani &amp; thanked him for cooperation w/ Bagh… https://t.co/sOTjsTJtJL",2017-02-18 09:50:49,7804,1727,"Sat"
"Today, I met Afghan @PresidentGhani to discuss U.S. support for Government of National Unity, CT cooperation, and e… https://t.co/18ShJnbMU6",2017-02-18 07:43:16,5549,1171,"Sat"
"Appreciate the kind response following my address at @MunSecConf reaffirming @POTUS commitment to NATO and Europe. https://t.co/i2ITmbLmbH",2017-02-18 06:39:35,6063,1096,"Sat"
"Had a productive conversation w/ Chancellor Merkel on enduring U.S.-Germany partnership and cooperation on global c… https://t.co/DvBJaDX520",2017-02-18 06:15:08,6238,1087,"Sat"
"Our strength, &amp; that of this alliance, is not derived solely from our strength of arms. It's born of the shared pri… https://t.co/bkYIdU4e8z",2017-02-18 04:07:22,7524,1689,"Sat"
"As @POTUS has made clear, the US will fight tirelessly to crush these enemies &amp; consign them to the ash-heap of history, where they belong.",2017-02-18 04:03:57,9504,1943,"Sat"
"Under @POTUS, the US will remain committed to ensuring Iran never obtains a nuclear weapon capable of threatening our countries or allies.",2017-02-18 04:03:09,8928,1787,"Sat"
"Know this: The US will continue to hold Russia accountable, even as we search for new common ground, which @POTUS believes can be found.",2017-02-18 04:02:21,8550,1658,"Sat"
"We must hold Russia accountable and demand that they honor the Minsk Agreements, beginning by de-escalating the violence in eastern Ukraine.",2017-02-18 04:01:57,11561,2656,"Sat"
".@POTUS expects our allies to keep their word. We must shoulder this responsibility together bc the dangers we face are growing. #MSC2017",2017-02-18 04:00:46,6381,1221,"Sat"
"Peace only comes through strength.  
@POTUS believes we must be strong, able to confront all who would threaten our freedom &amp; way of life.",2017-02-18 03:57:50,10628,2449,"Sat"
"Just as US stood w/ Europe through end of the 20th Century, Europe stood w/ US at the outset of the 21st &amp; America will forever be grateful.",2017-02-18 03:54:58,6384,1006,"Sat"
"We have been faithful for generations—and as you keep faith with us, under @POTUS Trump we will always keep faith with you. #MSC2017",2017-02-18 03:51:41,6062,1039,"Sat"
"On behalf of @POTUS, I assure you—the US strongly supports NATO and will not waver in our commitment to our transatlantic alliance. #MSC2017",2017-02-18 03:51:03,6123,1255,"Sat"
"History will attest that when the US and Europe are peaceful &amp; prosperous, we advance the peace &amp; prosperity of the… https://t.co/k1S81Oi8hQ",2017-02-18 03:50:39,5991,1276,"Sat"
"WATCH LIVE now as I address the @MunSecConf and outline @POTUS Trump's commitment to global security —&gt; https://t.co/ajL5D0iR7c",2017-02-18 03:49:14,2514,467,"Sat"
"Enjoyed yesterday's discourse on ways to empower and revitalize distressed communities through economic development… https://t.co/YZr4JBFUKe",2017-02-17 12:03:26,6153,1235,"Fri"
"Next stop Munich. Looking forward to sharing @POTUS message of a stronger &amp; safer world with our allies while in Ge… https://t.co/GKTNSs3tFL",2017-02-17 07:31:51,14720,2748,"Fri"
"In Mick Mulvaney, @POTUS has nominated an OMB Director with an unwavering commitment to protecting America’s fiscal… https://t.co/Zn2TKDpddj",2017-02-16 20:15:35,6371,1294,"Thurs"
"Great session w/ small biz owners, finance leaders and @SenatorTimScott discussing econ development &amp; entrepreneurs… https://t.co/9aIgRBMwIG",2017-02-16 17:41:13,8322,1917,"Thurs"
"At this historic juncture in history, @POTUS &amp; I look forward to joining forces with our partners in Congress to re… https://t.co/piW2vzR4uv",2017-02-16 15:00:44,7296,1330,"Thurs"
"Honored to host Prime Minister Benjamin @Netanyahu for breakfast at VP Residence this am. Under @POTUS Trump, the U… https://t.co/0UFoCYWjjV",2017-02-16 08:30:10,13420,2620,"Thurs"
"As @POTUS made clear, we are committed to working with Israel and our common allies in the region toward greater se… https://t.co/3Nil9YWgSW",2017-02-15 18:09:58,10208,2106,"Wed"
"America stands in solidarity with Israel, our cherished ally. Proud to join POTUS in welcoming Prime Minister… https://t.co/FNlVXS6TWr",2017-02-15 14:00:16,15512,3816,"Wed"
"Great discussion led by @POTUS w/ @RILAtweets on encouraging job creation &amp; economic growth through tax relief for… https://t.co/LOQ4LNN8Fq",2017-02-15 11:21:38,5391,1115,"Wed"
"Small business is at the heart of the American success story, &amp; @Linda_McMahon knows this better than most. No one… https://t.co/4UGbU8t4n8",2017-02-14 19:12:17,19958,3984,"Tues"
"As @DeptVetAffairs Secretary, Dr. David Shulkin will fulfill our nation's promise to care for those who have sacrif… https://t.co/9z3OTTTmRE",2017-02-14 19:10:15,20118,3952,"Tues"
"Enjoyed visiting with my friend @GovChristie at the @WhiteHouse today. Looking forward to Chris and fellow governor… https://t.co/BxSLkmHeN1",2017-02-14 18:42:51,5516,1031,"Tues"
"Our nation's success depends on our students' education. @BetsyDeVos will help us ensure every child has the best s… https://t.co/Vj8S5I2eTM",2017-02-07 19:40:49,11823,2525,"Tues"
"My vote for @BetsyDeVos was the easiest vote I ever cast. An Education Secretary who is one of the foremost advocat… https://t.co/z2pDuC86pB",2017-02-07 18:18:02,11432,2510,"Tues"
"While on the Hill, popped into House @RepublicanStudy Committee lunch—a group I was honored to chair &amp; will work wi… https://t.co/7VeoScKcRO",2017-02-07 13:29:29,5997,1083,"Tues"
"Today’s vote to confirm Education Secretary @BetsyDeVos was a vote for every child having a chance at a world-class… https://t.co/jDZLYp0EJG",2017-02-07 12:33:45,32311,7915,"Tues"
".@POTUS and I extend our thanks to those in law enforcement who protect our communities and are dedicated to our sa… https://t.co/biLnB0MwoL",2017-02-07 11:43:07,9028,1889,"Tues"
"Happy birthday to Pres. Reagan. His leadership inspired a generation to believe in America. Honored to have been sw… https://t.co/5Tq5ofbPVu",2017-02-06 15:51:33,19337,3788,"Mon"
"We owe a debt of gratitude to our service members. Grateful to pay a small thanks &amp; spend time with our brave heroes https://t.co/ALuheHxPv3",2017-02-06 13:09:32,12465,2279,"Mon"
"Headed back to DC on Air Force Two with our <ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8> heroes. Incredible comeback. One of the best Super Bowls ever. Congratulations to @Patriots.",2017-02-05 23:32:14,19826,3402,"Sun"
"It's a great honor to visit with Former President @GeorgeHWBush &amp; Barbara Bush. Their service to our nation <ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8> is a… https://t.co/oVJOC5nhXk",2017-02-05 19:28:14,43162,6789,"Sun"
"Anyone who knows the Pence family knows we can't pass up good BBQ. Had to stop by Pappa's in Houston on the way to… https://t.co/uWqvWmNSR2",2017-02-05 16:39:31,14748,2392,"Sun"
"En route to Houston for Super Bowl LI. Our traveling group includes a serviceman who supports the @AtlantaFalcons &amp;… https://t.co/5yYkh0m68y",2017-02-05 13:58:00,17018,3025,"Sun"
"Honored to welcome on Air Force 2, as our guests to the Super Bowl LI, two American heroes <ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>who were injured in th… https://t.co/9uNA1sbrl1",2017-02-05 13:35:06,14827,3799,"Sun"
"It gave me chills to stand in room where Founding Fathers created the greatest charter of liberty world has ever se… https://t.co/yvK9Z1MFLF",2017-02-04 13:02:26,17822,3592,"Sat"
"This SCOTUS seat doesn't belong to any party, ideology, or interest group. It belongs to the American people–and Am… https://t.co/HjOW4CeWwa",2017-02-04 12:21:41,29581,7324,"Sat"
"Rest assured, we will work w/ Senate leadership to ensure that Judge Gorsuch gets an up-or-down vote on the Senate floor- one way the other",2017-02-04 12:21:19,9163,1654,"Sat"
"Judge Gorsuch has defended the Constitution’s unique system of federalism that restricts the national gov to specific and enumerated powers.",2017-02-04 12:16:39,10182,2070,"Sat"
"Judge Gorsuch is one of the most mainstream, respected, and exceptionally qualified Supreme Court nominees in American history.",2017-02-04 12:12:02,9906,2053,"Sat"
"Judge Gorsuch is a worthy successor to Justice Antonin Scalia. Our Constitution &amp; our country will be stronger with him on the Supreme Court",2017-02-04 12:11:41,8694,1693,"Sat"
"#SCOTUS nominee Judge Gorsuch has sterling academic credentials, a brilliant legal mind and an unwavering commitmen… https://t.co/PI1NDSZc8b",2017-02-04 12:11:10,6746,1409,"Sat"
"WATCH LIVE at noon as I join the Philadelphia @FedSoc to discuss the Constitution &amp; #SCOTUS nominee @GorsuchFacts. https://t.co/w6zuiBssf5",2017-02-04 11:48:50,3414,643,"Sat"
"Couldn't pass this close to the Liberty Bell <ed><U+00A0><U+00BD><ed><U+00B4><U+0094> without stopping by to see this symbol of American Freedom for mysel… https://t.co/c6gJX4bLgT",2017-02-04 11:08:04,13040,2158,"Sat"
"Proud to stand alongside @POTUS as he signed an EO that will help empower Americans to make their own financial dec… https://t.co/M5XtRVJAhk",2017-02-03 17:35:51,9056,1928,"Fri"
"This Nat'l Catholic Schools Week, we extend our appreciation to those working to ensure every child has access to a… https://t.co/eYqo0igs1c",2017-02-03 14:31:42,6982,1559,"Fri"
